0 1.43908170059 0.324490965315 1.475212028
0.005 0.45362891839 0.0455678001719 0.45591185553
0.01 -1.3062542946 -0.391648643889 1.36370412569
0.015 -3.10036002987 -0.895965405805 3.22722579365
0.02 -4.76758548663 -1.45920613048 4.98589549666
0.025 -6.46227807513 -1.96899440748 6.75558856777
0.03 -8.18345367348 -2.42855760173 8.53620560032
0.035 -10.0298546733 -2.97099561689 10.4606309429
0.04 -11.7998512445 -3.51597264881 12.3125364186
0.045 -13.5470393895 -3.98069619675 14.1197811043
0.05 -15.2859573331 -4.43177124046 15.9154355239
0.055 -17.1229071529 -4.99873107786 17.8376361034
0.06 -18.8265307253 -5.560125496 19.6304165692
0.065 -20.5273048126 -6.06406389023 21.4042779306
0.07 -22.2449735854 -6.47246834044 23.1674706482
0.075 -23.8807829977 -6.98025569111 24.8800274537
0.08 -25.695256894 -7.49970295511 26.7673639207
0.085 -27.39392996 -8.00025108438 28.5382447965
0.09 -29.0373275117 -8.47093757872 30.2476969782
0.095 -30.6786344114 -8.99240488422 31.9693909067
0.1 -32.438911226 -9.57203697465 33.8216920536
0.105 -34.0845210338 -10.1286591934 35.5576195936
0.11 -35.7147711222 -10.6295503776 37.2630140694
0.115 -37.3840026712 -11.0947586337 38.9956064815
0.12 -39.1859715459 -11.5876499226 40.8633576292
0.125 -40.8442237323 -12.0986777854 42.5984579117
0.13 -42.4695276408 -12.6484003519 44.3130094836
0.135 -44.0871131589 -13.1498971753 46.0064489219
0.14 -45.6281053006 -13.7129859768 47.6442019318
0.145 -47.3250431593 -14.2687085375 49.429300555
0.15 -48.9485520504 -14.7735834338 51.1294388323
0.155 -50.4528284278 -15.3158038736 52.7262908297
0.16 -51.980831383 -15.8377845136 54.3400611848
0.165 -53.6557263411 -16.3973226599 56.1053398492
0.17 -55.1887168309 -17.0077829051 57.7499709506
0.175 -56.645225636 -17.6108045543 59.3196596787
0.18 -58.1190150903 -18.1790644583 60.8957987028
0.185 -59.6720751517 -18.8156931103 62.5682576083
0.19 -61.0626123563 -19.477424305 64.0937803951
0.195 -62.4419746332 -20.0604941616 65.5852393615
0.2 -63.816224489 -20.6690543408 67.0799546465
0.205 -65.0720351549 -21.3207665009 68.4758705194
0.21 -66.3952011366 -21.9770394595 69.9379224554
0.215 -67.6487999822 -22.5576256496 71.3106346485
0.22 -68.7759116641 -23.1501099585 72.5675796504
0.225 -69.8521583385 -23.758959754 73.7821942824
0.23 -71.0018876294 -24.442549487 75.091319554
0.235 -72.0173687971 -25.060737924 76.2531441565
0.24 -72.9275975914 -25.6554613894 77.3087135423
0.245 -73.8497035761 -26.2468111885 78.3752117435
0.25 -74.8263662617 -26.8990525007 79.5144270769
0.255 -75.6086226543 -27.5031863496 80.455509936
0.26 -76.3522185926 -28.1244492366 81.3673517381
0.265 -77.1469041409 -28.6505098692 82.2951792895
0.27 -77.7657443518 -29.2691114881 83.091466962
0.275 -78.4500097019 -29.8381040905 83.9328093057
0.28 -79.105951674 -30.3896492706 84.742447292
0.285 -79.6301131911 -30.9633881303 85.4382018264
0.29 -80.1696789123 -31.4206141538 86.107098492
0.295 -80.8163617192 -31.8880635554 86.8799914758
0.3 -81.3388391559 -32.3514628925 87.5364147456
0.305 -81.7321795811 -32.8744206502 88.0958382227
0.31 -82.1938693193 -33.3003215631 88.6833894812
0.315 -82.6419393587 -33.7435081019 89.2654159235
0.32 -82.9659615377 -34.2419379317 89.7544488435
0.325 -83.3709469432 -34.6326369212 90.2780944323
0.33 -83.7297199565 -35.0128830122 90.7555396702
0.335 -84.0073873504 -35.3806650605 91.1538950871
0.34 -84.3525756839 -35.7500146584 91.6156131485
0.345 -84.7700853496 -36.0146299223 92.1033166537
0.35 -84.9885197481 -36.3856502732 92.4497919672
0.355 -85.268808446 -36.6966527271 92.8300275513
0.36 -85.5594134496 -37.0747981198 93.2467365942
0.365 -85.8041979245 -37.4534445105 93.6222243229
0.37 -85.9838420135 -37.7619199565 93.9105089231
0.375 -86.2318130938 -38.0590762371 94.2571953405
0.38 -86.4380339772 -38.4230763037 94.5931631276
0.385 -86.6301017914 -38.7552727026 94.9038760992
0.39 -86.8252325617 -38.9786261412 95.1732856701
0.395 -87.0763163874 -39.2640582636 95.519375767
0.4 -87.1851610974 -39.5585141502 95.7398995056
0.405 -87.349636367 -39.8786092349 96.0221976834
0.41 -87.574099703 -40.1410958863 96.3355101598
0.415 -87.689011316 -40.4737573596 96.5789197516
0.42 -87.7810453928 -40.7187151753 96.7653124615
0.425 -87.9999225951 -41.0098466567 97.0865278993
0.43 -88.1058384487 -41.2991019596 97.3049566642
0.435 -88.202549562 -41.5575480859 97.50240793
0.44 -88.3229446248 -41.7988951781 97.7143294778
0.445 -88.5051613184 -42.0205504196 97.9739263149
0.45 -88.5672505679 -42.2827173426 98.1426821472
0.455 -88.647953849 -42.5933343765 98.349640848
0.46 -88.8377322702 -42.7912878241 98.6064753886
0.465 -88.939868962 -43.0074763134 98.7924253667
0.47 -89.0056280302 -43.2526568026 98.958547592
0.475 -89.23422031 -43.450797877 99.2507829213
0.48 -89.2197419201 -43.7611994784 99.3740656715
0.485 -89.2966095259 -43.9916212231 99.5446995608
0.49 -89.4832600298 -44.2040034806 99.8060506647
0.495 -89.6056224256 -44.3940584958 100
