0 0.56489911939 0.290879733016 0.635391244956
0.005 0.250806352886 0.973976193227 1.00575019345
0.01 -0.503003517296 1.94889663177 2.01276193817
0.015 -1.34310713861 2.99213425201 3.27975672388
0.02 -2.08083493402 3.90295745514 4.42300247787
0.025 -2.83188045066 4.86556998355 5.62968188725
0.03 -3.6032670407 5.85146721779 6.87191399594
0.035 -4.46865811502 6.91461737874 8.23291192977
0.04 -5.25691658983 7.92909237436 9.51344721505
0.045 -6.08096498535 8.90654210561 10.7844623154
0.05 -6.88962077525 9.89863335755 12.0602577408
0.055 -7.76804148002 10.9715265156 13.443097207
0.06 -8.57990921571 12.0064809151 14.7570466596
0.065 -9.43018965288 13.0306629918 16.0849822783
0.07 -10.2475305228 14.0698249902 17.4060867823
0.075 -11.1273420814 15.0810658969 18.7418326314
0.08 -12.0379866994 16.2024077817 20.1849236238
0.085 -12.9106042952 17.2483581523 21.5450588817
0.09 -13.7709312572 18.2987343449 22.9015769395
0.095 -14.6821804257 19.3638540225 24.3007255994
0.1 -15.6432152081 20.5277301003 25.8088722171
0.105 -16.564701176 21.6387663815 27.2511565912
0.11 -17.4330112282 22.7379165476 28.6517491509
0.115 -18.3632854685 23.7967578611 30.0582091598
0.12 -19.3186550439 24.973338961 31.5733763093
0.125 -20.2664810604 26.0854508891 33.0330289658
0.13 -21.1529108981 27.2181718469 34.4713579389
0.135 -22.1428800743 28.3134104701 35.9437943244
0.14 -23.0389836673 29.4880006676 37.4210763046
0.145 -24.1409884344 30.6820283759 39.0406735066
0.15 -25.0253716226 31.8933351966 40.5395369339
0.155 -26.0621903389 33.0164226017 42.063308556
0.16 -26.9708504726 34.2001312694 43.5554331175
0.165 -28.0566669727 35.4081063947 45.1764381074
0.17 -28.947645893 36.6315477619 46.6887191319
0.175 -30.0418802591 37.7105392638 48.2140989864
0.18 -30.825333982 38.9358484204 49.6608649473
0.185 -31.9885052656 40.0968962344 51.2935235363
0.19 -32.8024318128 41.3408123199 52.7736894305
0.195 -33.8237837591 42.4450543816 54.2736675492
0.2 -34.6067747001 43.6514523379 55.7052793401
0.205 -35.617034051 44.744274799 57.1893630134
0.21 -36.3928753303 46.072086009 58.7118257596
0.215 -37.4940852821 47.1295515641 60.2245885148
0.22 -38.1462079512 48.3580727009 61.5925025989
0.225 -39.1051162045 49.4024888701 63.0064760157
0.23 -39.86435762 50.6276345316 64.438531848
0.235 -40.714160738 51.7381021025 65.8367229878
0.24 -41.3807570262 52.8514285505 67.1240683502
0.245 -42.2097509854 53.8594909372 68.4288524108
0.25 -42.7405090809 55.0822303094 69.7194607864
0.255 -43.592666513 56.0591387437 71.0137142417
0.26 -44.1199220698 57.0912251753 72.1524463581
0.265 -44.6953443526 58.0932988521 73.2973749756
0.27 -45.2853347534 59.0306453706 74.4001252458
0.275 -45.912941946 60.0140480933 75.5624523602
0.28 -46.3573116128 60.9559631943 76.5808709073
0.285 -46.9154005043 61.8116361201 77.5998270895
0.29 -47.3233962256 62.6976434037 78.552519493
0.295 -47.7265753813 63.6374331942 79.5458917932
0.3 -48.2802462528 64.3849850087 80.4761360454
0.305 -48.5525797852 65.2296384004 81.3157963107
0.31 -48.9520480408 65.9792525336 82.1557348716
0.315 -49.2802361194 66.7160233792 82.9431699872
0.32 -49.6477083237 67.4844380374 83.7797369238
0.325 -49.8795210775 68.2148486669 84.5058116437
0.33 -50.3014017649 68.8379090481 85.2577781884
0.335 -50.4466554441 69.547087047 85.9166012027
0.34 -50.8148622604 70.2135953656 86.6723669961
0.345 -51.022085406 70.8574207039 87.3156759579
0.35 -51.2935982036 71.4641378032 87.9667903736
0.355 -51.4214975735 72.0812091724 88.5430467539
0.36 -51.7172202048 72.6925620209 89.2125520253
0.365 -51.8298712188 73.2963154871 89.7701810989
0.37 -52.0318947261 73.8544808327 90.3426942694
0.375 -52.218128864 74.3785214355 90.8784761811
0.38 -52.3501251472 74.94260312 91.4162423497
0.385 -52.3857523857 75.5490377245 91.9343469771
0.39 -52.6280256248 76.0483840404 92.4827864865
0.395 -52.6138740852 76.5831569321 92.9150131676
0.4 -52.7428597231 77.0770930313 93.3953292297
0.405 -52.8152579709 77.6106073429 93.8768227342
0.41 -52.894354888 78.1019160863 94.3277375715
0.415 -52.8303321641 78.6312864912 94.7307933664
0.42 -53.0245693024 79.0378520362 95.1766095435
0.425 -52.8944344876 79.5874609391 95.5614207643
0.43 -53.0544310759 80.0057891606 95.9984320497
0.435 -52.8929862364 80.5049637095 96.3260980984
0.44 -52.9938329187 80.8935830837 96.7063499029
0.445 -52.7857325612 81.3950456684 97.0128188508
0.45 -53.0354033259 81.7367681951 97.4353800266
0.455 -52.7087263888 82.2693278844 97.7059473526
0.46 -52.8770795885 82.590087289 98.0668550746
0.465 -52.589555606 83.065696141 98.3136370715
0.47 -52.7487386641 83.4091556213 98.6889896194
0.475 -52.4440864463 83.8760197055 98.9220343747
0.48 -52.5996388406 84.1709768998 99.2545986765
0.485 -52.2228612954 84.6291799234 99.44508704
0.49 -52.4580167332 84.9096342134 99.8072617691
0.495 -52.0633669355 85.3780172137 100
